state,response,coverage,education,effective_to_date,employmentstatus,gender,location_code,marital_status,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size,month,year,day,week
other,No,Basic,Bachelor,2011-02-24,Employed,F,Suburban,Married,Corporate,Offer1,Agent,Two-Door Car,Medsize,02,2011,3,8
Arizona,No,Extended,Bachelor,2011-01-31,Unemployed,F,Suburban,Single,Personal L3,Offer3,Agent,Four-Door Car,Medsize,01,2011,0,5
other,No,Premium,Bachelor,2011-02-19,Employed,F,Suburban,Married,Personal L3,Offer1,Agent,Two-Door Car,Medsize,02,2011,5,7
California,No,Basic,Bachelor,2011-01-20,Unemployed,M,Suburban,Married,Corporate,Offer1,Call Center,SUV,Medsize,01,2011,3,3
other,No,Basic,Bachelor,2011-02-03,Employed,M,Rural,Single,Personal L1,Offer1,Agent,Four-Door Car,Medsize,02,2011,3,5
Oregon,Yes,Basic,Bachelor,2011-01-25,Employed,F,Rural,Married,Personal L3,Offer2,Web,Two-Door Car,Medsize,01,2011,1,4
Oregon,Yes,Basic,College,2011-02-24,Employed,F,Suburban,Married,Corporate,Offer1,Agent,Four-Door Car,Medsize,02,2011,3,8
Arizona,No,Premium,higher education,2011-01-18,Unemployed,M,Urban,Single,Corporate,Offer1,Agent,Four-Door Car,Medsize,01,2011,1,3
Oregon,Yes,Basic,Bachelor,2011-01-26,other,M,Suburban,Divorced,Corporate,Offer1,Agent,Four-Door Car,Medsize,01,2011,2,4
Oregon,No,Extended,College,2011-02-17,Employed,F,Urban,Married,Special,Offer2,Branch,Four-Door Car,Medsize,02,2011,3,7
California,No,Basic,College,2011-02-21,Unemployed,M,Suburban,Single,Personal L3,Offer1,Agent,Four-Door Car,Small,02,2011,0,8
California,No,Basic,College,2011-01-06,Unemployed,F,Suburban,Married,Personal L3,Offer2,Agent,SUV,Medsize,01,2011,3,1
California,No,Premium,higher education,2011-02-06,Employed,M,Urban,Married,Corporate,Offer2,Agent,Four-Door Car,Medsize,02,2011,6,5
Arizona,Yes,Basic,High School or Below,2011-01-10,Employed,M,Suburban,Married,Corporate,Offer2,Branch,SUV,Medsize,01,2011,0,2
California,No,Basic,College,2011-01-18,Employed,M,Urban,Single,Corporate,Offer4,Call Center,Four-Door Car,Medsize,01,2011,1,3
Oregon,No,Basic,Bachelor,2011-01-17,Employed,F,Rural,Married,Corporate,Offer2,Branch,Four-Door Car,Medsize,01,2011,0,3
other,No,Basic,High School or Below,2011-02-06,other,M,Suburban,Married,Personal L3,Offer2,Call Center,Two-Door Car,Medsize,02,2011,6,5
California,No,Basic,College,2011-01-05,other,M,Suburban,Married,Personal L2,Offer3,Call Center,SUV,Medsize,01,2011,2,1
Oregon,No,Basic,College,2011-02-27,Employed,M,Urban,Married,Personal L2,Offer2,Branch,Four-Door Car,Medsize,02,2011,6,8
California,No,Premium,High School or Below,2011-01-14,Employed,F,Suburban,Married,Corporate,Offer1,Call Center,Four-Door Car,Small,01,2011,4,2
Oregon,No,Basic,High School or Below,2011-02-19,Employed,M,Suburban,Single,Personal L2,Offer1,Branch,Two-Door Car,Medsize,02,2011,5,7
other,No,Extended,Bachelor,2011-01-21,other,F,Suburban,Divorced,Personal L3,Offer4,Call Center,Four-Door Car,Medsize,01,2011,4,3
Arizona,Yes,Basic,Bachelor,2011-01-26,other,M,Suburban,Divorced,Personal L3,Offer1,Agent,Four-Door Car,Medsize,01,2011,2,4
other,No,Basic,Bachelor,2011-02-24,Unemployed,F,Suburban,Single,Corporate,Offer1,Branch,Four-Door Car,Medsize,02,2011,3,8
California,No,Basic,Bachelor,2011-02-05,other,F,Suburban,Married,Corporate,Offer2,Branch,Four-Door Car,Medsize,02,2011,5,5
Oregon,No,Basic,College,2011-01-29,Employed,M,Suburban,Married,Personal L3,Offer2,Call Center,Four-Door Car,Large,01,2011,5,4
California,No,Premium,Bachelor,2011-02-28,Unemployed,F,Suburban,Single,Personal L3,Offer1,Agent,Four-Door Car,Small,02,2011,0,9
other,No,Extended,higher education,2011-02-12,other,F,Urban,Married,Corporate,Offer1,Branch,SUV,Medsize,02,2011,5,6
Arizona,No,Premium,College,2011-02-02,Employed,F,Suburban,Single,Personal L3,Offer1,Call Center,Four-Door Car,Large,02,2011,2,5
Oregon,No,Extended,higher education,2011-02-07,Employed,F,Suburban,Married,Personal L3,Offer2,Branch,Four-Door Car,Small,02,2011,0,6
Arizona,No,Basic,College,2011-02-28,Employed,M,Suburban,Married,Personal L2,Offer4,Call Center,Four-Door Car,Small,02,2011,0,9
other,No,Extended,High School or Below,2011-01-22,Employed,M,Urban,Married,Corporate,Offer2,Agent,Luxury Car,Medsize,01,2011,5,3
California,No,Basic,Bachelor,2011-01-25,Unemployed,M,Urban,Married,Personal L3,Offer1,Call Center,Four-Door Car,Medsize,01,2011,1,4
other,No,Basic,Bachelor,2011-01-18,Employed,M,Suburban,Married,Corporate,Offer1,Agent,Two-Door Car,Small,01,2011,1,3
Oregon,No,Basic,Bachelor,2011-02-13,Employed,F,Rural,Married,Corporate,Offer3,Web,Four-Door Car,Medsize,02,2011,6,6
Arizona,No,Basic,High School or Below,2011-01-15,Employed,F,Urban,Married,Personal L1,Offer1,Branch,Four-Door Car,Medsize,01,2011,5,2
California,No,Premium,Bachelor,2011-01-08,Employed,M,Suburban,Married,Personal L3,Offer1,Agent,Four-Door Car,Small,01,2011,5,1
Oregon,No,Extended,higher education,2011-02-06,Employed,F,Suburban,Married,Personal L3,Offer2,Web,Four-Door Car,Small,02,2011,6,5
Oregon,No,Extended,Bachelor,2011-01-25,Unemployed,M,Suburban,Single,Personal L2,Offer3,Agent,Two-Door Car,Small,01,2011,1,4
Arizona,No,Basic,High School or Below,2011-02-07,Employed,M,Rural,Divorced,Personal L3,Offer1,Call Center,Four-Door Car,Medsize,02,2011,0,6
other,No,Basic,High School or Below,2011-01-18,Unemployed,F,Suburban,Married,Corporate,Offer3,Call Center,Two-Door Car,Medsize,01,2011,1,3
